id,value
id_0,37.4
id_1,14.0
id_2,7.2
id_3,16.5
id_4,28.0
id_5,109.0
id_6,27.9
id_7,38.0
id_8,33.2
id_9,20.7
id_10,25.7
id_11,37.1
id_12,39.7
id_13,16.2
id_14,25.0
id_15,41.6
id_16,25.3
id_17,54.4
id_18,25.7
id_19,13.2
id_20,31.8
id_21,34.3
id_22,306.4
id_23,44.5
id_24,12.9
id_25,13.8
id_26,44.1
id_27,31.0
id_28,64.5
id_29,17.5
id_30,18.1
id_31,44.0
id_32,35.6
id_33,35.4
id_34,56.0
id_35,40.5
id_36,14.1
id_37,44.5
id_38,20.4
id_39,3.7
id_40,24.9
id_41,9.6
id_42,46.0
id_43,28.9
id_44,66.0
id_45,41.2
id_46,34.4
id_47,21.0
id_48,24.8
id_49,67.7
id_50,26.0
id_51,51.8
id_52,19.5
id_53,33.5
id_54,19.4
id_55,44.0
id_56,40.5
id_57,24.7
id_58,25.9
id_59,18.0
id_60,63.1
id_61,85.8
id_62,38.1
id_63,26.2
id_64,17.4
id_65,47.2
id_66,7.4
id_67,12.1
id_68,59.0
id_69,8.5
id_70,17.5
id_71,19.7
id_72,37.4
id_73,20.2
id_74,44.5
id_75,67.5
id_76,5.3
id_77,44.1
id_78,75.1
id_79,38.2
id_80,46.8
id_81,18.5
id_82,12.6
id_83,45.2
id_84,11.3
id_85,9.1
id_86,31.2
id_87,87.0
id_88,31.9
id_89,45.4
id_90,15.7
id_91,69.6
id_92,56.4
id_93,8.1
id_94,23.4
id_95,27.6
id_96,24.5
id_97,8.1
id_98,13.9
id_99,38.3
id_100,21.6
id_101,47.8
id_102,33.7
id_103,39.5
id_104,29.7
id_105,22.3
id_106,16.8
id_107,36.0
id_108,8.8
id_109,75.1
id_110,32.4
id_111,68.5
id_112,20.1
id_113,26.0
id_114,29.9
id_115,32.1
id_116,30.7
id_117,22.8
id_118,29.2
id_119,47.9
id_120,24.6
id_121,26.7
id_122,71.5
id_123,7.1
id_124,36.0
id_125,5.0
id_126,33.0
id_127,14.8
id_128,51.3
id_129,47.5
id_130,7.0
id_131,46.1
id_132,17.9
id_133,5.9
id_134,28.8
id_135,31.8
id_136,86.5
id_137,99.2
id_138,29.9
id_139,56.9
id_140,76.6
id_141,20.8
id_142,35.1
id_143,30.6
id_144,29.1
id_145,13.3
id_146,36.7
id_147,49.0
id_148,30.5
id_149,14.2
id_150,34.8
id_151,35.5
id_152,64.3
id_153,26.3
id_154,14.0
id_155,64.2
id_156,16.7
id_157,26.6
id_158,41.2
id_159,23.9
id_160,16.9
id_161,106.3
id_162,52.4
id_163,31.0
id_164,39.1
id_165,35.5
id_166,66.2
id_167,57.4
id_168,9.3
id_169,24.1
id_170,29.7
id_171,29.5
id_172,27.7
id_173,39.5
id_174,86.8
id_175,57.8
id_176,19.8
id_177,19.0
id_178,62.4
id_179,23.8
id_180,13.6
id_181,27.1
id_182,29.4
id_183,28.1
id_184,14.9
id_185,19.9
id_186,31.3
id_187,51.9
id_188,76.3
id_189,63.3
id_190,9.5
id_191,26.0
id_192,19.6
id_193,28.4
id_194,26.5
id_195,18.0
id_196,15.0
id_197,17.6
id_198,25.8
id_199,15.6
id_200,6.3
id_201,29.8
id_202,35.1
id_203,72.5
id_204,13.0
id_205,18.6
id_206,49.8
id_207,51.4
id_208,20.8
id_209,30.6
id_210,52.8
id_211,34.3
id_212,31.7
id_213,-4.7
id_214,14.3
id_215,7.2
id_216,48.5
id_217,13.2
id_218,28.5
id_219,92.5
id_220,53.4
id_221,20.4
id_222,35.9
id_223,89.3
id_224,36.7
id_225,7.3
id_226,15.3
id_227,49.3
id_228,33.7
id_229,31.0
id_230,10.5
id_231,29.6
id_232,7.4
id_233,36.3
id_234,68.7
id_235,22.6
id_236,17.7
id_237,18.1
id_238,10.4
id_239,30.6
id_240,27.3
id_241,80.0
id_242,39.7
id_243,33.0
id_244,71.1
id_245,40.2
id_246,40.8
id_247,48.7
id_248,15.2
id_249,6.6
id_250,13.0
id_251,42.6
id_252,13.4
id_253,21.2
id_254,18.4
id_255,31.7
id_256,32.4
id_257,6.5
id_258,25.5
id_259,41.8
